"wikidata_url","wikidata_qid","place_label","location"
http://www.wikidata.org/entity/Q1013574,Q1013574,Immingham,Point(-0.2183 53.6139)
http://www.wikidata.org/entity/Q1013608,Q1013608,Hadleigh,Point(0.961 52.044)
http://www.wikidata.org/entity/Q1013614,Q1013614,Kinlochleven,Point(-4.965287 56.713248)
http://www.wikidata.org/entity/Q1013633,Q1013633,Ruthin,Point(-3.310555555 53.114444444)
http://www.wikidata.org/entity/Q1013753,Q1013753,Skelmorlie,Point(-4.89 55.88)
http://www.wikidata.org/entity/Q1013826,Q1013826,Snape,Point(1.5 52.17)
http://www.wikidata.org/entity/Q1013827,Q1013827,Kilwinning,Point(-4.7 55.65)
http://www.wikidata.org/entity/Q1013970,Q1013970,"Heywood, Greater Manchester",Point(-2.219 53.59)
http://www.wikidata.org/entity/Q1014104,Q1014104,Langholm,Point(-2.999 55.152)
http://www.wikidata.org/entity/Q1014681,Q1014681,Greensted,Point(0.227 51.703)
http://www.wikidata.org/entity/Q1015255,Q1015255,Gotham,Point(-1.205 52.869)
http://www.wikidata.org/entity/Q1016169,Q1016169,Largs,Point(-4.863611111 55.793888888)
http://www.wikidata.org/entity/Q1016267,Q1016267,Kilcar,Point(-8.592789 54.632481)
http://www.wikidata.org/entity/Q1016286,Q1016286,Ratoath,Point(-6.462708 53.507549)
http://www.wikidata.org/entity/Q1016292,Q1016292,New Ross,Point(-6.945076 52.395611)
http://www.wikidata.org/entity/Q1016297,Q1016297,Frosses,Point(-8.299 54.66)
http://www.wikidata.org/entity/Q1016308,Q1016308,Lochboisdale,Point(-7.31 57.15)
http://www.wikidata.org/entity/Q1016314,Q1016314,Kilkelly,Point(-8.85 53.8667)
http://www.wikidata.org/entity/Q1016316,Q1016316,Mulranny,Point(-9.7897 53.9039)
http://www.wikidata.org/entity/Q1016323,Q1016323,Luss,Point(-4.644722222 56.096944444)
http://www.wikidata.org/entity/Q1016707,Q1016707,Blackburn,Point(-3.62154 55.8725)
http://www.wikidata.org/entity/Q1016738,Q1016738,Turriff,Point(-2.46114 57.539)
http://www.wikidata.org/entity/Q1016743,Q1016743,Kilbirnie,Point(-4.7 55.75)
http://www.wikidata.org/entity/Q1016813,Q1016813,Herstmonceux,Point(0.32 50.89)
http://www.wikidata.org/entity/Q1016818,Q1016818,Long Melford,Point(0.718 52.077)
http://www.wikidata.org/entity/Q1016878,Q1016878,Mildenhall,Point(0.5089 52.344611111)
http://www.wikidata.org/entity/Q1016904,Q1016904,Kingussie,Point(-4.05 57.08)
http://www.wikidata.org/entity/Q1016911,Q1016911,Linlithgow,Point(-3.610555555 55.975277777)
http://www.wikidata.org/entity/Q1016915,Q1016915,Liscannor,Point(-9.391111111 52.938611111)
http://www.wikidata.org/entity/Q1016925,Q1016925,Galashiels,Point(-2.818888888 55.620555555)
http://www.wikidata.org/entity/Q1016931,Q1016931,Huntly,Point(-2.78333 57.45)
http://www.wikidata.org/entity/Q1016935,Q1016935,Giffnock,Point(-4.290555555 55.798333333)
http://www.wikidata.org/entity/Q1016944,Q1016944,Peterhead,Point(-1.7832 57.5091)
http://www.wikidata.org/entity/Q1016956,Q1016956,Watton-at-Stone,Point(-0.113 51.858)
http://www.wikidata.org/entity/Q1016958,Q1016958,Slamannan,Point(-3.833327777 55.937902777)
http://www.wikidata.org/entity/Q1016963,Q1016963,Longniddry,Point(-2.88333 55.9667)
http://www.wikidata.org/entity/Q1016985,Q1016985,Newton Stewart,Point(-4.492 54.958)
http://www.wikidata.org/entity/Q1016999,Q1016999,Kemnay,Point(-2.4489 57.2339)
http://www.wikidata.org/entity/Q1017010,Q1017010,Macmerry,Point(-2.90609 55.9404)
http://www.wikidata.org/entity/Q1017049,Q1017049,Moreton,Point(0.2188 51.7428)
http://www.wikidata.org/entity/Q1017052,Q1017052,Hailsham,Point(0.26 50.86)
http://www.wikidata.org/entity/Q1017068,Q1017068,St Bees,Point(-3.589855555 54.491686111)
http://www.wikidata.org/entity/Q1017077,Q1017077,Threlkeld,Point(-3.051480555 54.619169444)
http://www.wikidata.org/entity/Q1017153,Q1017153,Rosehearty,Point(-2.11667 57.6833)
http://www.wikidata.org/entity/Q1017159,Q1017159,Lochgilphead,Point(-5.44 56.04)
http://www.wikidata.org/entity/Q1017187,Q1017187,Glenluce,Point(-4.811 54.878)
http://www.wikidata.org/entity/Q1017196,Q1017196,Wigtown,Point(-4.443888888 54.8675)
http://www.wikidata.org/entity/Q1017199,Q1017199,Muthill,Point(-3.83395 56.33)
http://www.wikidata.org/entity/Q1017204,Q1017204,Lauder,Point(-2.74855 55.7194)
http://www.wikidata.org/entity/Q1017331,Q1017331,"Westport, County Mayo",Point(-9.5333 53.8)
