"id","type","lon","lat","place","name","name:en","name:zh","wikipedia","wikidata"
,node,0.5279,51.3789,,Chatham,,,,
,node,-3.2492,51.5851,,Penyrheol  Trecenydd,,,,
,node,-2.7294,53.3847,,Farnworth,,,,
,node,-2.89,53.18,,Handbridge Park,,,,
,node,-0.98,51.45,,Minster,,,,
,node,-3.1215,53.3752,,Greasby,,,,
,node,-4.2641,55.7806,,Busby,,,,
,node,-1.441,53.5438,,Stairfoot,,,,
,node,-0.4424,54.2925,,Newby,,,,
,node,-4.732,56.0084,,Helensburgh,,,,
,node,-1.6709,54.9959,,Blakelaw,,,,
,node,-2.16,53.63,,Healey,,,,
,node,-1.9519,53.833,,Haworth,,,,
,node,-2.5994,53.4756,,Golborne,,,,
,node,-0.05,53.57,,Sidney Sussex,,,,
,node,-4.07,50.39,,Plympton Erle,,,,
,node,-3.0785,51.58,,Graig,,,,
,node,-0.63,51.48,,Clewer,,,,
,node,-2.0578,50.7385,,Lytchett Minster,,,,
,node,-4.2675,55.7993,,Netherlee,,,,
,node,-2.5,53.56,,Westhoughton,,,,
,node,-2.5,53.52,,Atherleigh,,,,
,node,-2.92,53.27,,Sutton,,,,
,node,-2.78,55.43,,Hawick,,,,
,node,-1.7294,51.5471,,Liden,,,,
,node,-3.84,56.38,,Strathearn,,,,
,node,-3.22,57.47,,Speyside Glenlivet,,,,
,node,-4.34,56.07,,Forth,,,,
,node,-2.0588,52.3647,,Catshill,,,,
,node,-1.3369,53.0251,,Aldercar,,,,
,node,-4.2833,57.8333,,East Sutherland,,,,
,node,-0.03,53.56,,Croft Baker,,,,
,node,-1.9942,50.7598,,Broadstone,,,,
,node,-2.9643,51.5927,,Beechwood,,,,
,node,-2.5276,57.6697,,Banff,,,,
,node,-2.5529,55.4777,,Jedburgh,,,,
,node,-2.8925,53.1409,,Eaton,,,,
,node,-1.3146,53.723,,Airedale,,,,
,node,-1.2998,50.9653,,Fair Oak,,,,
,node,-2.9959,51.5968,,Shaftesbury,,,,
,node,-1.9447,53.7232,,Luddendenfoot,,,,
,node,-2.4367,52.6742,,Hollinswood,,,,
,node,-2.1295,53.649,,Wardle,,,,
,node,-1.8,52.39,,Blythe,,,,
,node,-1.4694,53.5297,,Worsbrough,,,,
,node,-4.65,55.96,,Helensburgh,,,,
,node,-2.5225,53.4519,,Culcheth,,,,
,node,-2.07,53.54,,Saddleworth,,,,
,node,-0.7788,51.3306,,Blackwater,,,,
,node,-3.1671,51.6025,,Bedwas Trethomas,,,,
,node,0.54,51.35,,Lordswood,,,,
,node,-1.78,51.55,,Old Town,,,,
,node,-4.2797,51.6879,,Pembrey,,,,
,node,-1.4033,53.521,,Wombwell,,,,
,node,0.5476,51.369,,Luton,,,,
,node,-2.5045,57.0514,,Banchory,,,,
,node,-2.436,52.6938,,St. Georges,,,,
,node,-3,55.5,,Selkirkshire,,,,
,node,-1.01,51.44,,Southcote,,,,
,node,0.53,51.35,,Princes Park,,,,
,node,-0.9878,54.5612,,Skelton,,,,
,node,-2.2144,53.6259,,Norden,,,,
,node,-1.8341,51.5676,,Shaw,,,,
,node,-1.8181,53.7814,,Clayton,,,,
,node,-1.7343,53.0173,,Ashbourne,,,,
,node,0.74,51.54,,Southchurch,,,,
,node,-1.6416,52.7951,,Anglesey,,,,
,node,-2.1873,53.9171,,Barnoldswick,,,,
,node,-0.74,51.52,,Boyn Hill,,,,
,node,-2.5851,53.5652,,Aspull New Springs Whelley,,,,
,node,-2.4634,57.5376,,Turriff,,,,
,node,-0.9082,52.2098,,East Hunsbury,,,,
,node,-4.7247,50.3523,,St. Blaise,,,,
,node,-2.5164,51.4496,,Hanham,,,,
,node,-4.9402,50.4345,,St. Columb Major,,,,
,node,-2.198,51.8334,,Upton St. Leonards,,,,
,node,-3.62,55.06,,Abbey,,,,
,node,-2.5261,53.7182,,Livesey,,,,
